,ID,Practice,,,,,,,,,
practice,1,MOOSE,,,,,,,,,
practice,2,GREEK,,,,,,,,,
practice,3,DIP,,,,,,,,,
practice,4,LOBE,,,,,,,,,
practice,5,CREST,,,,,,,,,
practice,6,SCREEN,,,,,,,,,
practice,7,CHEST,,,,,,,,,
practice,8,GRASP,,,,,,,,,
memload,9,SAGE,,,,,,,,,
memload,10,LOW,,,,,,,,,
memload,11,ANT,,,,,,,,,
memload,12,SCRAP,,,,,,,,,
memload,13,TART,,,,,,,,,
memload,14,HORN,,,,,,,,,
memload,15,SPY,,,,,,,,,
memload,16,SCROLL,,,,,,,,,
memload,17,FIG,,,,,,,,,
memload,18,SHAPE,,,,,,,,,
memload,19,HAIR,,,,,,,,,
memload,20,TAP,,,,,,,,,
memload,21,GROUND,,,,,,,,,
memload,22,BANK,,,,,,,,,
memload,23,MOLD,,,,,,,,,
memload,24,LOAN,,,,,,,,,
exp,25,STRAIGHT,,,,,,,,,
exp,26,GATE,,,,,,,,,
exp,27,SCOTCH,,,,,,,,,
exp,28,MIST,,,,,,,,,
exp,29,GLARE,,,,,,,,,
exp,30,STRETCH,,,,,,,,,
exp,31,PAIL,,,,,,,,,
exp,32,CASH,,,,,,,,,
exp,33,RANK,,,,,,,,,
exp,34,RING,,,,,,,,,
exp,35,MARE,,,,,,,,,
exp,36,HERD,,,,,,,,,
exp,37,MOLE,,,,,,,,,
exp,38,PLAQUE,,,,,,,,,
exp,39,JERK,,,,,,,,,
exp,40,RASH,,,,,,,,,
exp,41,PINE,,,,,,,,,
exp,42,SALT,,,,,,,,,
exp,43,PURSE,,,,,,,,,
exp,44,SCUM,,,,,,,,,
exp,45,DEAF,,,,,,,,,
exp,46,ROSE,,,,,,,,,
exp,47,DEER,,,,,,,,,
exp,48,POOR,,,,,,,,,
exp,49,PROSE,,,,,,,,,
exp,50,BOLT,,,,,,,,,
exp,51,BAR,,,,,,,,,
exp,52,NOSE,,,,,,,,,
exp,53,PRAISE,,,,,,,,,
exp,54,RAP,,,,,,,,,
exp,55,GRILL,,,,,,,,,
exp,56,SAD,,,,,,,,,
exp,57,RIP,,,,,,,,,
exp,58,GRAZE,,,,,,,,,
exp,59,DEW,,,,,,,,,
exp,60,SHEEP,,,,,,,,,
exp,61,STORE,,,,,,,,,
exp,62,COLT,,,,,,,,,
exp,63,SPACE,,,,,,,,,
exp,64,STEEL,,,,,,,,,
exp,65,LASH,,,,,,,,,
exp,66,CRIB,,,,,,,,,
exp,67,FOE,,,,,,,,,
exp,68,SHELF,,,,,,,,,
exp,69,ODD,,,,,,,,,
exp,70,SHARP,,,,,,,,,
exp,71,SAUCE,,,,,,,,,
exp,72,SHADE,,,,,,,,,
exp,73,FLAG,,,,,,,,,
exp,74,FROWN,,,,,,,,,
exp,75,PRICK,,,,,,,,,
exp,76,SOAP,,,,,,,,,
exp,77,SEED,,,,,,,,,
exp,78,DENSE,,,,,,,,,
exp,79,KING,,,,,,,,,
exp,80,MARCH,,,,,,,,,
exp,81,ROCK,,,,,,,,,
exp,82,BALL,,,,,,,,,
exp,83,MAIL,,,,,,,,,
exp,84,HIVE,,,,,,,,,
exp,85,PLAIN,,,,,,,,,
exp,86,PAUSE,,,,,,,,,
exp,87,SQUASH,,,,,,,,,
exp,88,MASS,,,,,,,,,
exp,89,MEAT,,,,,,,,,
exp,90,CAP,,,,,,,,,
exp,91,CHIEF,,,,,,,,,
exp,92,PEACE,,,,,,,,,
exp,93,PORT,,,,,,,,,
exp,94,HALT,,,,,,,,,
exp,95,FIST,,,,,,,,,
exp,96,JOG,,,,,,,,,
exp,97,BUD,,,,,,,,,
exp,98,FRAME,,,,,,,,,
exp,99,PLANT,,,,,,,,,
exp,100,ROAD,,,,,,,,,
exp,101,SCORE,,,,,,,,,
exp,102,BARK,,,,,,,,,
exp,103,PEN,,,,,,,,,
exp,104,SPELL,,,,,,,,,
exp,105,TAB,,,,,,,,,
exp,106,DOE,,,,,,,,,
exp,107,FLEA,,,,,,,,,
exp,108,JOINT,,,,,,,,,
exp,109,SMOKE,,,,,,,,,
exp,110,BRAWL,,,,,,,,,
exp,111,FIX,,,,,,,,,
exp,112,SAFE,,,,,,,,,
exp,113,ILL,,,,,,,,,
exp,114,SIGN,,,,,,,,,
exp,115,FLAKE,,,,,,,,,
exp,116,RAISE,,,,,,,,,
exp,117,DOVE,,,,,,,,,
exp,118,PASS,,,,,,,,,
exp,119,PRINCE,,,,,,,,,
exp,120,PARK,,,,,,,,,
exp,121,BRIDE,,,,,,,,,
exp,122,SHRINK,,,,,,,,,
exp,123,FUND,,,,,,,,,
exp,124,MAIN,,,,,,,,,
exp,125,HEAL,,,,,,,,,
exp,126,HOOD,,,,,,,,,
exp,127,NUT,,,,,,,,,
exp,128,PHASE,,,,,,,,,
exp,129,STRIKE,,,,,,,,,
exp,130,CONE,,,,,,,,,
exp,131,SACK,,,,,,,,,
exp,132,BREATH,,,,,,,,,
exp,133,PEER,,,,,,,,,
exp,134,OAK,,,,,,,,,
exp,135,LOAF,,,,,,,,,
exp,136,HAY,,,,,,,,,
exp,137,HOG,,,,,,,,,
exp,138,POP,,,,,,,,,
exp,139,ROAM,,,,,,,,,
exp,140,QUACK,,,,,,,,,
exp,141,EAST,,,,,,,,,
exp,142,CROAK,,,,,,,,,
exp,143,QUEEN,,,,,,,,,
exp,144,CENT,,,,,,,,,
exp,145,SCALE,,,,,,,,,
exp,146,GYM,,,,,,,,,
exp,147,BLUES,,,,,,,,,
exp,148,STALK,,,,,,,,,
exp,149,BULB,,,,,,,,,
exp,150,LIME,,,,,,,,,
exp,151,CHICK,,,,,,,,,
exp,152,INN,,,,,,,,,
exp,153,HAUL,,,,,,,,,
exp,154,SAIL,,,,,,,,,
exp,155,SOUP,,,,,,,,,
exp,156,PIE,,,,,,,,,
exp,157,BAG,,,,,,,,,
exp,158,SOUL,,,,,,,,,
exp,159,ROLL,,,,,,,,,
exp,160,SNOB,,,,,,,,,
exp,161,MAID,,,,,,,,,
exp,162,DILL,,,,,,,,,
exp,163,SKIP,,,,,,,,,
exp,164,SCOOP,,,,,,,,,
leftover,165,PRUNE,,,,,,,,,
leftover,166,POT,,,,,,,,,
leftover,167,PAIR,,,,,,,,,
leftover,168,TICK,,,,,,,,,
leftover,169,HOUND,,,,,,,,,
leftover,170,PAGE,,,,,,,,,
leftover,171,PRESS,,,,,,,,,
leftover,172,CANE,,,,,,,,,
leftover,173,NAP,,,,,,,,,
leftover,174,SHAG,,,,,,,,,
leftover,175,FILL,,,,,,,,,
leftover,176,PEAK,,,,,,,,,
leftover,177,CELL,,,,,,,,,
leftover,178,SOAR,,,,,,,,,
leftover,179,JACK,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,